#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-10-28 18:58:37.893
#Trace: Trace
#Start: 100 Hz
#Stop: 1000 Hz
#Steps: 200
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 1e+06 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Linear
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (Ohm)
751.2562814070352,2045456.262951274
755.7788944723618,2026129.716887761
760.3015075376884,2019593.58110306
764.8241206030151,2005321.86121712
769.3467336683417,1993155.741945782
773.8693467336683,1979899.513606191
778.391959798995,1970586.342532449
782.9145728643216,1962966.474041658
787.4371859296482,1947717.205026034
791.9597989949749,1936814.982067556
796.4824120603015,1925988.180683707
801.0050251256281,1918530.507002298
805.5276381909548,1908262.594142261
810.0502512562814,1896926.129234395
814.572864321608,1886741.503698093
819.0954773869347,1873230.343519112
823.6180904522613,1864434.721711273
828.1407035175879,1856537.43725853
832.6633165829146,1847189.397923009
837.1859296482412,1833584.778926401
841.7085427135678,1825967.66547024
846.2311557788945,1817544.11162174
850.7537688442211,1808512.770558057
855.2763819095477,1796208.45798658
859.7989949748744,1785015.799844905
864.321608040201,1776405.054376182
868.8442211055276,1770538.266334291
873.3668341708543,1758467.195649224
877.8894472361809,1750820.909434929
882.4120603015075,1739981.991288931
886.9346733668342,1732973.166841181
891.4572864321608,1722757.433820417
895.9798994974874,1714254.013650442
900.5025125628141,1707345.06632022
905.0251256281407,1698390.236445771
909.5477386934673,1690909.195727447
914.070351758794,1682472.033370337
918.5929648241206,1672666.705762454
923.1155778894472,1664442.728243538
927.6381909547739,1658042.895833326
932.1608040201005,1650311.251927137
936.6834170854271,1642401.856368582
941.2060301507538,1633578.636922437
945.7286432160804,1624950.962977502
950.251256281407,1618873.770564365
954.7738693467337,1609589.910555776
959.2964824120603,1603198.544155811
963.8190954773869,1596654.506836537
968.3417085427136,1588237.48610746
972.8643216080402,1580585.875431902
977.3869346733668,1574032.254203715
981.9095477386935,1566407.763675692
986.4321608040201,1559252.080595219
990.9547738693467,1553373.345428531
995.4773869346734,1544322.442230545
1000,1538414.253995897
