Frequency (Hz),Trace |Z| (Ohm)
43050.16722,112489.8674
43381.2709,112208.8555
43712.37458,112299.4011
44043.47826,111873.4787
44374.58194,111866.0088
44705.68562,111866.3936
45036.7893,111442.5588
45367.89298,111591.3777
45698.99666,111399.4942
46030.10033,111204.0433
46361.20401,111203.7976
46692.30769,110984.7007
47023.41137,111098.2361
47354.51505,111122.7552
47685.61873,110790.9088
48016.72241,110744.1757
48347.82609,110900.5153
48678.92977,110803.2327
49010.03344,110311.9555
49341.13712,110387.0965
49672.2408,110582.1623
50003.34448,110227.1405
50334.44816,110445.0061
50665.55184,110406.8552
50996.65552,110196.6085
51327.7592,109847.989
51658.86288,109564.7737
51989.96656,109834.3201
52321.07023,110024.3025
52652.17391,109582.7185
52983.27759,109715.2605
53314.38127,109506.4562
53645.48495,109457.5273
53976.58863,109453.2402
54307.69231,109262.678
54638.79599,109215.8264
54969.89967,109126.2191
55301.00334,109083.4008
55632.10702,109320.3196
55963.2107,109054.1384
56294.31438,108737.9294
56625.41806,108815.8633
56956.52174,108781.213
57287.62542,108738.2807
57618.7291,108639.1269
57949.83278,108545.2241
58280.93645,108429.3072
58612.04013,108697.8499
58943.14381,108453.2876
59274.24749,108089.1716
59605.35117,108052.5745
59936.45485,108244.1331
60267.55853,107890.4894
60598.66221,108008.312
60929.76589,107783.1088
61260.86957,107744.4186
61591.97324,108023.4025
61923.07692,107601.1139
62254.1806,107646.6751
62585.28428,107539.841
62916.38796,107447.9715
63247.49164,107261.8756
63578.59532,107236.3639
63909.699,107362.9921
64240.80268,107274.4153
64571.90635,107162.6782
64903.01003,106938.003
65234.11371,106828.2467
65565.21739,107099.266
65896.32107,106875.5925
66227.42475,106776.1707
66558.52843,106728.1811
66889.63211,106431.9658
67220.73579,106351.6336
67551.83946,106485.3795
67882.94314,106823.2478
68214.04682,106265.2111
68545.1505,106367.03
68876.25418,105929.248
69207.35786,106212.4468
69538.46154,106148.7206
69869.56522,106291.7854
70200.6689,106256.8368
70531.77258,105965.2554
70862.87625,105694.56
71193.97993,105776.4933
71525.08361,105919.4443
71856.18729,105744.2946
72187.29097,105739.7341
72518.39465,105879.0784
72849.49833,105703.5481
73180.60201,105912.4788
73511.70569,105598.363
73842.80936,105483.9584
74173.91304,105201.5422
74505.01672,105375.1277
74836.1204,105441.8962
75167.22408,105021.8308
75498.32776,104937.4218
75829.43144,105134.7869
76160.53512,105012.4677
76491.6388,104910.8306
76822.74247,105239.5841
77153.84615,105126.2472
77484.94983,104973.1917
77816.05351,104590.1585
78147.15719,104704.3078
78478.26087,104842.8954
78809.36455,104720.6088
79140.46823,104510.8854
79471.57191,104642.6217
79802.67559,103961.4691
80133.77926,104362.836
80464.88294,104008.4575
80795.98662,104456.3745
81127.0903,104359.9134
81458.19398,104208.9592
81789.29766,103760.778
82120.40134,104246.9016
82451.50502,103779.3226
82782.6087,103852.2088
83113.71237,104071.0703
83444.81605,103812.4471
83775.91973,103690.2008
84107.02341,103954.006
84438.12709,103638.055
84769.23077,103468.1979
85100.33445,103436.8323
85431.43813,103772.352
85762.54181,103490.2865
86093.64548,103574.6361
86424.74916,103597.6866
86755.85284,103259.6326
87086.95652,103292.7017
87418.0602,103100.347
87749.16388,103288.5154
88080.26756,102989.9149
88411.37124,103334.0573
88742.47492,102564.2776
89073.5786,102729.8837
89404.68227,103298.31
89735.78595,102577.0019
90066.88963,102778.7248
90397.99331,102924.4653
90729.09699,102681.7822
91060.20067,102947.1933
91391.30435,102438.5877
91722.40803,102672.5904
92053.51171,101880.8361
92384.61538,102596.5897
92715.71906,102288.0958
93046.82274,102904.0781
93377.92642,102407.3165
93709.0301,102455.3336
94040.13378,102365.2378
94371.23746,101971.5556
94702.34114,100828.0415
95033.44482,101894.398
95364.54849,102242.3587
95695.65217,101561.822
96026.75585,101702.5298
96357.85953,101570.3122
96688.96321,101595.3526
97020.06689,101593.071
97351.17057,101575.2891
97682.27425,101676.7331
98013.37793,101222.9158
98344.48161,102017.9756
98675.58528,101990.3329
99006.68896,101066.1096
99337.79264,101247.0223
99668.89632,100672.2077
100000,101096.1555
