Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.14024978756117e+003	(-9.14695475646431e+001dB,1.79450851083087e+002°)
1.14287833478977e+003	(-9.14294700118724e+001dB,1.79449582860972e+002°)
1.14551294144553e+003	(-9.13893921007908e+001dB,1.79448311699315e+002°)
1.14815362149688e+003	(-9.13493138297411e+001dB,1.79447037591216e+002°)
1.15080038894443e+003	(-9.13092351970589e+001dB,1.79445760529826e+002°)
1.15345325782109e+003	(-9.12691562010713e+001dB,1.79444480508156e+002°)
1.15611224219210e+003	(-9.12290768400983e+001dB,1.79443197519292e+002°)
1.15877735615512e+003	(-9.11889971124519e+001dB,1.79441911556306e+002°)
1.16144861384034e+003	(-9.11489170164363e+001dB,1.79440622612171e+002°)
1.16412602941049e+003	(-9.11088365503479e+001dB,1.79439330679984e+002°)
1.16680961706096e+003	(-9.10687557124749e+001dB,1.79438035752655e+002°)
1.16949939101987e+003	(-9.10286745010979e+001dB,1.79436737823192e+002°)
1.17219536554813e+003	(-9.09885929144895e+001dB,1.79435436884590e+002°)
1.17489755493953e+003	(-9.09485109509142e+001dB,1.79434132929740e+002°)
1.17760597352080e+003	(-9.09084286086285e+001dB,1.79432825951610e+002°)
1.18032063565173e+003	(-9.08683458858806e+001dB,1.79431515943085e+002°)
1.18304155572516e+003	(-9.08282627809110e+001dB,1.79430202897077e+002°)
1.18576874816716e+003	(-9.07881792919518e+001dB,1.79428886806436e+002°)
1.18850222743701e+003	(-9.07480954172269e+001dB,1.79427567664045e+002°)
1.19124200802737e+003	(-9.07080111549518e+001dB,1.79426245462730e+002°)
1.19398810446427e+003	(-9.06679265033341e+001dB,1.79424920195315e+002°)
1.19674053130724e+003	(-9.06278414605731e+001dB,1.79423591854603e+002°)
1.19949930314937e+003	(-9.05877560248593e+001dB,1.79422260433416e+002°)
1.20226443461741e+003	(-9.05476701943752e+001dB,1.79420925924471e+002°)
1.20503594037179e+003	(-9.05075839672948e+001dB,1.79419588320574e+002°)
1.20781383510678e+003	(-9.04674973417833e+001dB,1.79418247614420e+002°)
1.21059813355048e+003	(-9.04274103159983e+001dB,1.79416903798761e+002°)
1.21338885046497e+003	(-9.03873228880876e+001dB,1.79415556866271e+002°)
1.21618600064636e+003	(-9.03472350561915e+001dB,1.79414206809651e+002°)
1.21898959892486e+003	(-9.03071468184409e+001dB,1.79412853621537e+002°)
1.22179966016487e+003	(-9.02670581729587e+001dB,1.79411497294608e+002°)
1.22461619926504e+003	(-9.02269691178586e+001dB,1.79410137821494e+002°)
