Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.19674053130724e+003	(-8.98796632346006e+001dB,1.79479704602542e+002°)
1.19949930314937e+003	(-8.98395751906681e+001dB,1.79478502739178e+002°)
1.20226443461741e+003	(-8.97994867398965e+001dB,1.79477298088150e+002°)
1.20503594037179e+003	(-8.97593978804039e+001dB,1.79476090642955e+002°)
1.20781383510678e+003	(-8.97193086102995e+001dB,1.79474880397009e+002°)
1.21059813355048e+003	(-8.96792189276837e+001dB,1.79473667343698e+002°)
1.21338885046497e+003	(-8.96391288306484e+001dB,1.79472451476487e+002°)
1.21618600064636e+003	(-8.95990383172762e+001dB,1.79471232788743e+002°)
1.21898959892486e+003	(-8.95589473856411e+001dB,1.79470011273838e+002°)
1.22179966016487e+003	(-8.95188560338082e+001dB,1.79468786925135e+002°)
1.22461619926504e+003	(-8.94787642598336e+001dB,1.79467559735972e+002°)
1.22743923115840e+003	(-8.94386720617641e+001dB,1.79466329699678e+002°)
1.23026877081238e+003	(-8.93985794376378e+001dB,1.79465096809571e+002°)
1.23310483322890e+003	(-8.93584863854836e+001dB,1.79463861058948e+002°)
1.23594743344450e+003	(-8.93183929033212e+001dB,1.79462622441081e+002°)
1.23879658653036e+003	(-8.92782989891612e+001dB,1.79461380949215e+002°)
1.24165230759241e+003	(-8.92382046410048e+001dB,1.79460136576624e+002°)
1.24451461177138e+003	(-8.91981098568441e+001dB,1.79458889316505e+002°)
1.24738351424294e+003	(-8.91580146346619e+001dB,1.79457639162082e+002°)
1.25025903021771e+003	(-8.91179189724316e+001dB,1.79456386106583e+002°)
1.25314117494141e+003	(-8.90778228681173e+001dB,1.79455130143150e+002°)
1.25602996369487e+003	(-8.90377263196733e+001dB,1.79453871264946e+002°)
1.25892541179416e+003	(-8.89976293250446e+001dB,1.79452609465121e+002°)
1.26182753459066e+003	(-8.89575318821670e+001dB,1.79451344736816e+002°)
1.26473634747115e+003	(-8.89174339889664e+001dB,1.79450077073145e+002°)
1.26765186585784e+003	(-8.88773356433590e+001dB,1.79448806467168e+002°)
1.27057410520854e+003	(-8.88372368432516e+001dB,1.79447532912009e+002°)
1.27350308101666e+003	(-8.87971375865411e+001dB,1.79446256400703e+002°)
1.27643880881134e+003	(-8.87570378711147e+001dB,1.79444976926296e+002°)
1.27938130415752e+003	(-8.87169376948499e+001dB,1.79443694481815e+002°)
1.28233058265601e+003	(-8.86768370556140e+001dB,1.79442409060270e+002°)
1.28528665994361e+003	(-8.86367359512649e+001dB,1.79441120654678e+002°)
1.28824955169313e+003	(-8.85966343796504e+001dB,1.79439829257983e+002°)
1.29121927361353e+003	(-8.85565323386079e+001dB,1.79438534863148e+002°)
1.29419584144998e+003	(-8.85164298259654e+001dB,1.79437237463131e+002°)
1.29717927098395e+003	(-8.84763268395405e+001dB,1.79435937050848e+002°)
1.30016957803328e+003	(-8.84362233771408e+001dB,1.79434633619209e+002°)
1.30316677845229e+003	(-8.83961194365633e+001dB,1.79433327161085e+002°)
1.30617088813183e+003	(-8.83560150155953e+001dB,1.79432017669383e+002°)
1.30918192299940e+003	(-8.83159101120139e+001dB,1.79430705136932e+002°)
1.31219989901920e+003	(-8.82758047235852e+001dB,1.79429389556565e+002°)
1.31522483219223e+003	(-8.82356988480657e+001dB,1.79428070921131e+002°)
1.31825673855640e+003	(-8.81955924832009e+001dB,1.79426749223384e+002°)
1.32129563418657e+003	(-8.81554856267263e+001dB,1.79425424456142e+002°)
