Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.23879658653036e+003	(9.91201613063030e+001dB,1.79924242264482e+002°)
1.24165230759241e+003	(9.91201638048127e+001dB,1.79924067084667e+002°)
1.24451461177138e+003	(9.91201663148805e+001dB,1.79923891497268e+002°)
1.24738351424294e+003	(9.91201688365601e+001dB,1.79923715501321e+002°)
1.25025903021771e+003	(9.91201713699052e+001dB,1.79923539095857e+002°)
1.25314117494141e+003	(9.91201739149700e+001dB,1.79923362279906e+002°)
1.25602996369487e+003	(9.91201764718087e+001dB,1.79923185052494e+002°)
1.25892541179416e+003	(9.91201790404760e+001dB,1.79923007412647e+002°)
1.26182753459066e+003	(9.91201816210267e+001dB,1.79922829359387e+002°)
1.26473634747115e+003	(9.91201842135160e+001dB,1.79922650891733e+002°)
1.26765186585784e+003	(9.91201868179991e+001dB,1.79922472008703e+002°)
1.27057410520854e+003	(9.91201894345317e+001dB,1.79922292709312e+002°)
1.27350308101666e+003	(9.91201920631696e+001dB,1.79922112992571e+002°)
1.27643880881134e+003	(9.91201947039691e+001dB,1.79921932857492e+002°)
1.27938130415752e+003	(9.91201973569865e+001dB,1.79921752303081e+002°)
1.28233058265601e+003	(9.91202000222784e+001dB,1.79921571328344e+002°)
1.28528665994361e+003	(9.91202026999018e+001dB,1.79921389932283e+002°)
1.28824955169313e+003	(9.91202053899139e+001dB,1.79921208113898e+002°)
1.29121927361353e+003	(9.91202080923721e+001dB,1.79921025872186e+002°)
1.29419584144998e+003	(9.91202108073341e+001dB,1.79920843206142e+002°)
1.29717927098395e+003	(9.91202135348580e+001dB,1.79920660114760e+002°)
1.30016957803328e+003	(9.91202162750020e+001dB,1.79920476597028e+002°)
1.30316677845229e+003	(9.91202190278246e+001dB,1.79920292651934e+002°)
1.30617088813183e+003	(9.91202217933847e+001dB,1.79920108278463e+002°)
1.30918192299940e+003	(9.91202245717413e+001dB,1.79919923475598e+002°)
1.31219989901920e+003	(9.91202273629537e+001dB,1.79919738242318e+002°)
1.31522483219223e+003	(9.91202301670817e+001dB,1.79919552577600e+002°)
1.31825673855640e+003	(9.91202329841851e+001dB,1.79919366480419e+002°)
1.32129563418657e+003	(9.91202358143241e+001dB,1.79919179949747e+002°)
1.32434153519466e+003	(9.91202386575592e+001dB,1.79918992984553e+002°)
1.32739445772973e+003	(9.91202415139512e+001dB,1.79918805583804e+002°)
1.33045441797808e+003	(9.91202443835610e+001dB,1.79918617746464e+002°)
1.33352143216332e+003	(9.91202472664500e+001dB,1.79918429471496e+002°)
1.33659551654643e+003	(9.91202501626798e+001dB,1.79918240757858e+002°)
1.33967668742593e+003	(9.91202530723122e+001dB,1.79918051604506e+002°)
1.34276496113786e+003	(9.91202559954096e+001dB,1.79917862010395e+002°)
1.34586035405594e+003	(9.91202589320343e+001dB,1.79917671974474e+002°)
1.34896288259165e+003	(9.91202618822491e+001dB,1.79917481495694e+002°)
1.35207256319427e+003	(9.91202648461171e+001dB,1.79917290573000e+002°)
1.35518941235103e+003	(9.91202678237016e+001dB,1.79917099205334e+002°)
1.35831344658715e+003	(9.91202708150662e+001dB,1.79916907391637e+002°)
1.36144468246594e+003	(9.91202738202750e+001dB,1.79916715130848e+002°)
1.36458313658892e+003	(9.91202768393920e+001dB,1.79916522421901e+002°)
1.36772882559584e+003	(9.91202798724820e+001dB,1.79916329263728e+002°)
1.37088176616484e+003	(9.91202829196097e+001dB,1.79916135655261e+002°)
1.37404197501251e+003	(9.91202859808403e+001dB,1.79915941595424e+002°)
1.37720946889394e+003	(9.91202890562391e+001dB,1.79915747083143e+002°)
1.38038426460288e+003	(9.91202921458721e+001dB,1.79915552117340e+002°)
1.38356637897177e+003	(9.91202952498052e+001dB,1.79915356696933e+002°)
1.38675582887188e+003	(9.91202983681048e+001dB,1.79915160820838e+002°)
1.38995263121334e+003	(9.91203015008375e+001dB,1.79914964487969e+002°)
1.39315680294529e+003	(9.91203046480704e+001dB,1.79914767697236e+002°)
1.39636836105593e+003	(9.91203078098708e+001dB,1.79914570447548e+002°)
1.39958732257261e+003	(9.91203109863063e+001dB,1.79914372737808e+002°)
1.40281370456195e+003	(9.91203141774447e+001dB,1.79914174566920e+002°)
1.40604752412990e+003	(9.91203173833545e+001dB,1.79913975933783e+002°)
1.40928879842186e+003	(9.91203206041040e+001dB,1.79913776837293e+002°)
1.41253754462274e+003	(9.91203238397623e+001dB,1.79913577276346e+002°)
