Freq.	V(n001)
Step Information: 1=1  (Run: 1/11)
1.07646521362983e+003	(-4.46108846033921e+001dB,-9.02355640193713e+001°)
1.07894672222983e+003	(-4.45908453364010e+001dB,-9.02361080433985e+001°)
1.08143395129794e+003	(-4.45708058879855e+001dB,-9.02366533284407e+001°)
1.08392691402120e+003	(-4.45507662573068e+001dB,-9.02371998774146e+001°)
1.08642562361706e+003	(-4.45307264435219e+001dB,-9.02377476932884e+001°)
1.08893009333343e+003	(-4.45106864457838e+001dB,-9.02382967790678e+001°)
1.09144033644875e+003	(-4.44906462632419e+001dB,-9.02388471376942e+001°)
1.09395636627209e+003	(-4.44706058950414e+001dB,-9.02393987721670e+001°)
1.09647819614318e+003	(-4.44505653403237e+001dB,-9.02399516854836e+001°)
1.09900583943252e+003	(-4.44305245982262e+001dB,-9.02405058806140e+001°)
1.10153930954141e+003	(-4.44104836678822e+001dB,-9.02410613605676e+001°)
1.10407861990207e+003	(-4.43904425484209e+001dB,-9.02416181283967e+001°)
1.10662378397766e+003	(-4.43704012389679e+001dB,-9.02421761870703e+001°)
1.10917481526240e+003	(-4.43503597386440e+001dB,-9.02427355396621e+001°)
1.11173172728159e+003	(-4.43303180465668e+001dB,-9.02432961891742e+001°)
1.11429453359173e+003	(-4.43102761618492e+001dB,-9.02438581386456e+001°)
1.11686324778056e+003	(-4.42902340836003e+001dB,-9.02444213911512e+001°)
1.11943788346715e+003	(-4.42701918109248e+001dB,-9.02449859497184e+001°)
1.12201845430196e+003	(-4.42501493429235e+001dB,-9.02455518174548e+001°)
1.12460497396692e+003	(-4.42301066786928e+001dB,-9.02461189973789e+001°)
1.12719745617551e+003	(-4.42100638173252e+001dB,-9.02466874926005e+001°)
1.12979591467279e+003	(-4.41900207579087e+001dB,-9.02472573061885e+001°)
1.13240036323555e+003	(-4.41699774995272e+001dB,-9.02478284412692e+001°)
1.13501081567231e+003	(-4.41499340412604e+001dB,-9.02484009009029e+001°)
1.13762728582343e+003	(-4.41298903821839e+001dB,-9.02489746882179e+001°)
1.14024978756117e+003	(-4.41098465213684e+001dB,-9.02495498063452e+001°)
1.14287833478977e+003	(-4.40898024578810e+001dB,-9.02501262583851e+001°)
1.14551294144553e+003	(-4.40697581907840e+001dB,-9.02507040474841e+001°)
1.14815362149688e+003	(-4.40497137191357e+001dB,-9.02512831767695e+001°)
1.15080038894443e+003	(-4.40296690419898e+001dB,-9.02518636493851e+001°)
1.15345325782109e+003	(-4.40096241583956e+001dB,-9.02524454684949e+001°)
1.15611224219210e+003	(-4.39895790673981e+001dB,-9.02530286372703e+001°)
1.15877735615512e+003	(-4.39695337680379e+001dB,-9.02536131588697e+001°)
1.16144861384034e+003	(-4.39494882593509e+001dB,-9.02541990364741e+001°)
1.16412602941049e+003	(-4.39294425403690e+001dB,-9.02547862732662e+001°)
1.16680961706096e+003	(-4.39093966101191e+001dB,-9.02553748724386e+001°)
1.16949939101987e+003	(-4.38893504676240e+001dB,-9.02559648371846e+001°)
1.17219536554813e+003	(-4.38693041119018e+001dB,-9.02565561707255e+001°)
1.17489755493953e+003	(-4.38492575419657e+001dB,-9.02571488762711e+001°)
