Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.43548943335364e+003	(-4.48863678544000e+001dB,-9.03457787089147e+001°)
1.43879857825583e+003	(-4.48663113429910e+001dB,-9.03465779244864e+001°)
1.44211535152486e+003	(-4.48462545703752e+001dB,-9.03473789971244e+001°)
1.44543977074592e+003	(-4.48261975353440e+001dB,-9.03481819312214e+001°)
1.44877185354475e+003	(-4.48061402366825e+001dB,-9.03489867311324e+001°)
1.45211161758773e+003	(-4.47860826731704e+001dB,-9.03497934012928e+001°)
1.45545908058195e+003	(-4.47660248435820e+001dB,-9.03506019460945e+001°)
1.45881426027534e+003	(-4.47459667466855e+001dB,-9.03514123699989e+001°)
1.46217717445671e+003	(-4.47259083812435e+001dB,-9.03522246774274e+001°)
1.46554784095590e+003	(-4.47058497460131e+001dB,-9.03530388727958e+001°)
1.46892627764385e+003	(-4.46857908397452e+001dB,-9.03538549606125e+001°)
1.47231250243271e+003	(-4.46657316611854e+001dB,-9.03546729453182e+001°)
1.47570653327588e+003	(-4.46456722090730e+001dB,-9.03554928314019e+001°)
1.47910838816819e+003	(-4.46256124821416e+001dB,-9.03563146233652e+001°)
1.48251808514594e+003	(-4.46055524791193e+001dB,-9.03571383256962e+001°)
1.48593564228699e+003	(-4.45854921987278e+001dB,-9.03579639429201e+001°)
1.48936107771090e+003	(-4.45654316396830e+001dB,-9.03587914795640e+001°)
1.49279440957898e+003	(-4.45453708006949e+001dB,-9.03596209401653e+001°)
1.49623565609442e+003	(-4.45253096804676e+001dB,-9.03604523292575e+001°)
1.49968483550236e+003	(-4.45052482776989e+001dB,-9.03612856514210e+001°)
1.50314196609001e+003	(-4.44851865910808e+001dB,-9.03621209112098e+001°)
1.50660706618673e+003	(-4.44651246192992e+001dB,-9.03629581132190e+001°)
1.51008015416413e+003	(-4.44450623610339e+001dB,-9.03637972620161e+001°)
1.51356124843619e+003	(-4.44249998149584e+001dB,-9.03646383622456e+001°)
1.51705036745932e+003	(-4.44049369797401e+001dB,-9.03654814185148e+001°)
1.52054752973248e+003	(-4.43848738540405e+001dB,-9.03663264354266e+001°)
1.52405275379728e+003	(-4.43648104365144e+001dB,-9.03671734176419e+001°)
1.52756605823806e+003	(-4.43447467258109e+001dB,-9.03680223698029e+001°)
1.53108746168201e+003	(-4.43246827205722e+001dB,-9.03688732965748e+001°)
1.53461698279928e+003	(-4.43046184194348e+001dB,-9.03697262026361e+001°)
1.53815464030302e+003	(-4.42845538210284e+001dB,-9.03705810926659e+001°)
1.54170045294954e+003	(-4.42644889239767e+001dB,-9.03714379713635e+001°)
1.54525443953840e+003	(-4.42444237268967e+001dB,-9.03722968434394e+001°)
1.54881661891247e+003	(-4.42243582283992e+001dB,-9.03731577136147e+001°)
1.55238700995807e+003	(-4.42042924270883e+001dB,-9.03740205866405e+001°)
1.55596563160506e+003	(-4.41842263215620e+001dB,-9.03748854672119e+001°)
1.55955250282694e+003	(-4.41641599104114e+001dB,-9.03757523601460e+001°)
1.56314764264094e+003	(-4.41440931922213e+001dB,-9.03766212701577e+001°)
1.56675107010813e+003	(-4.41240261655698e+001dB,-9.03774922020579e+001°)
1.57036280433354e+003	(-4.41039588290284e+001dB,-9.03783651606269e+001°)
1.57398286446620e+003	(-4.40838911811621e+001dB,-9.03792401506743e+001°)
1.57761126969933e+003	(-4.40638232205291e+001dB,-9.03801171770103e+001°)
1.58124803927037e+003	(-4.40437549456808e+001dB,-9.03809962444765e+001°)
1.58489319246110e+003	(-4.40236863551622e+001dB,-9.03818773578857e+001°)
1.58854674859776e+003	(-4.40036174475111e+001dB,-9.03827605221204e+001°)
1.59220872705115e+003	(-4.39835482212590e+001dB,-9.03836457420406e+001°)
1.59587914723672e+003	(-4.39634786749301e+001dB,-9.03845330225029e+001°)
1.59955802861465e+003	(-4.39434088070421e+001dB,-9.03854223684115e+001°)
1.60324539069002e+003	(-4.39233386161056e+001dB,-9.03863137846575e+001°)
1.60694125301286e+003	(-4.39032681006244e+001dB,-9.03872072761738e+001°)
1.61064563517825e+003	(-4.38831972590954e+001dB,-9.03881028478397e+001°)
1.61435855682647e+003	(-4.38631260900081e+001dB,-9.03890005046608e+001°)
1.61808003764305e+003	(-4.38430545918456e+001dB,-9.03899002515327e+001°)
1.62181009735891e+003	(-4.38229827630835e+001dB,-9.03908020934326e+001°)
1.62554875575047e+003	(-4.38029106021904e+001dB,-9.03917060353474e+001°)
1.62929603263970e+003	(-4.37828381076280e+001dB,-9.03926120822539e+001°)
1.63305194789432e+003	(-4.37627652778506e+001dB,-9.03935202391452e+001°)
1.63681652142779e+003	(-4.37426921113054e+001dB,-9.03944305110529e+001°)
1.64058977319952e+003	(-4.37226186064323e+001dB,-9.03953429029960e+001°)
1.64437172321491e+003	(-4.37025447616642e+001dB,-9.03962574200075e+001°)
1.64816239152549e+003	(-4.36824705754264e+001dB,-9.03971740671446e+001°)
1.65196179822900e+003	(-4.36623960461371e+001dB,-9.03980928494536e+001°)
1.65576996346951e+003	(-4.36423211722070e+001dB,-9.03990137720151e+001°)
