#Digilent WaveForms Impedance Analyzer - Impedance
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-08 16:17:06.045
#Trace: Trace
#Start: 500 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (Ohm)
6299.605249474363,96740.8889931085
6627.049322149761,96927.59951632578
6971.513448699036,97053.81232511283
7333.882306103825,97217.67027649656
7715.086555534057,97379.13151206145
8116.105232537354,97482.74929868215
8537.968261466949,97633.85824076289
8981.759100605837,97785.74138140364
9448.617524780446,97911.16983406679
9939.742552610449,98028.10881720603
10456.39552591274,98139.28542770281
10999.90334916806,98254.92572897029
11571.66189737039,98345.04956967343
12173.13960101122,98449.21043205447
12805.88121740597,98543.03764415547
13471.51179804823,98678.12911672462
14171.74086218134,98801.77905566838
14908.36678730579,98901.0320612856
15683.28142789876,99053.27443905598
16498.4749742077,99187.65695095668
17356.04106359692,99276.15715624604
18258.18215757417,99558.96771337181
19207.21519830699,99758.14688449158
20205.57755915668,99964.3223780651
21255.83330451165,100251.1332953804
22360.67977499791,100657.1508503464
23522.95451497888,101196.2083318077
24745.6425601362,101670.3470129898
26031.88410384826,102296.230715099
27384.98256205545,102704.0691114179
28808.41305732534,101834.8117580123
30305.83134390649,95454.68350627883
31881.08319669363,78347.97654235121
33538.21428821711,67283.91342624791
35281.48057902321,70323.32288071481
37115.35924813137,74838.34936449336
39044.56019164011,77768.31538892015
41074.03811901288,79921.61265993731
43209.00527811162,81543.49387930497
45454.94484165778,82540.98691816875
47817.62498950186,82191.21810807331
50303.11372286869,82577.9474401317
52917.79444862427,83016.61317549393
55668.3823735903,81682.00080573255
58561.94175101008,81327.95333949917
61605.90402346034,81124.62930670058
64808.08690880452,80510.70662942385
68176.71447820502,79201.6827354687
71720.4382777611,79168.89213874248
75448.35954801747,77503.97729529314
79370.05259840995,76366.19567996053
83495.58939668033,75285.07501597847
87835.56543641115,73653.90699679736
92401.12694911761,72347.73497622748
97203.99953078292,70889.60370007002
102256.5182563573,69513.09508508735
107571.6593595655,66564.32592652427
113163.0735593814,64809.38796572808
119045.1211187646,63739.83683219217
125232.908725697,62111.27522607557
131742.3282912402,59778.40800583651
138590.0977642595,57206.31752954379
145793.804067634,55832.54237003849
153371.9482662291,53096.63014169017
161343.9930826316,50962.99271579352
169730.412882681,48492.23692887358
178552.7462591758,46299.16164449807
187833.6513488017,44317.50395651479
197596.9640243495,41912.49922327329
207867.7591116805,39819.82518565776
218672.4147886557,37439.27060776464
230038.6803314266,36406.51568091242
241995.7473820771,33687.10610033547
254574.3249206496,31073.90833237207
267806.7181341071,29404.60063454565
281726.9113847842,27610.36571719474
296370.6554914151,25911.81326329159
311775.5595469005,23944.5942878739
327981.1875086215,22357.72254501381
345029.159809377,20828.81865081696
362963.2602499051,19431.94721957753
381829.5484475159,18119.0873700138
401676.4781296405,16726.43145135463
422555.0215760972,15499.86134986465
444518.8005296846,14377.33871366644
467624.2239113108,13465.98884771558
491930.6326933472,12430.41796922392
517500.4523032875,11624.09349015466
544399.3529491152,10719.1408579359
572696.4182781496,9878.780218695269
602464.322802525,9252.814322543722
633779.5185469787,8528.642141480001
666722.4313983178,7932.481842628811
701377.6676608315,7389.5172985828
737834.2313481496,6903.033461789269
776185.7527696093,6400.550787464122
816530.7289981917,5982.918071187992
858972.7768376304,5531.243533283269
903620.898938372,5178.877497268249
950589.7637458397,4831.227469412065
1000000,4530.699808662562
