#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-08 16:07:13.119
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 201
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
86099.37521846012,-21.58189234885867,92.63383295641418
89125.09381337459,-21.98682432704089,92.2242026189989
92257.14271547638,-22.37948335632916,91.85191496321714
95499.25860214364,-22.7832657820005,91.29931642155503
98855.30946569396,-23.19235445076852,91.6950430473146
102329.2992280755,-23.52065311258161,91.47820965109688
105925.3725177289,-23.98413107637898,91.17784569658002
109647.8196143186,-24.401004857954,89.50712319085133
113501.0815672316,-24.88645710034597,88.45071236420027
117489.7554939529,-24.85457260355116,91.28582296079054
121618.6000646368,-25.16883279041596,87.36713567200877
125892.5411794167,-25.17496910673479,90.2689028958612
130316.6778452299,-26.56485781171209,92.63244554637724
134896.2882591654,-26.67109366538703,91.00808412773986
139636.8361055938,-27.17263717258774,88.8965839866238
144543.9770745928,-27.04148452702053,89.40546694848553
149623.5656094434,-27.37925133489889,89.43734732149916
154881.6618912482,-27.73912181368595,89.40882064134018
160324.5390690042,-28.0416000060311,89.17227448269254
165958.6907437561,-28.40284279477367,88.94102657492431
171790.8387157588,-28.69335531571709,89.0815197636697
177827.9410038923,-29.03330149693953,88.86758094117965
184077.2001468956,-29.34986957284866,88.4778812575413
190546.0717963248,-29.59400727328231,88.68107102223718
197242.2736114854,-29.95821234424893,87.7507882587899
204173.794466953,-30.24146034609085,88.20441706028336
211348.9039836648,-30.56303627122992,87.62650457674691
218776.1623949553,-30.74960647747625,87.52078771005722
226464.4307593061,-31.18013365539699,87.74044312078199
234422.8815319923,-31.4054342849943,87.52466007882165
242661.0095082417,-31.6745489647167,87.81279597836776
251188.6431509582,-31.94778642528824,87.55604474585934
260015.9563165274,-32.27535027754944,86.73591567252784
269153.4803926917,-32.53842201917097,87.02693613978724
278612.116862977,-32.82458962367664,87.08935100988361
288403.1503126606,-32.96699808051579,86.50257837429029
298538.261891796,-33.25475471700118,85.73402099526895
309029.5432513591,-33.65729170486247,86.92479453451516
319889.5109691398,-33.88247059920602,86.64495633915448
